epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1256.96,1.81167,1.1668,0.94788,0.91427,0.9111,0.93275,0.45984,1.71207,0.84902,0.93932,0.000627815,0.000627815,0.000627815
69,1277.3,1.76021,1.11027,0.93379,0.93654,0.89773,0.93867,0.46762,1.69818,0.85058,0.9369,0.00062226,0.00062226,0.00062226
70,1298.61,1.76782,1.13965,0.9461,0.93724,0.8971,0.93885,0.4652,1.72296,0.85667,0.93589,0.000616705,0.000616705,0.000616705
71,1315.78,1.76624,1.1154,0.93026,0.95318,0.87936,0.93594,0.46405,1.75696,0.87657,0.94035,0.00061115,0.00061115,0.00061115
72,1333.63,1.79496,1.14441,0.93814,0.94181,0.8903,0.9403,0.45071,1.76262,0.87912,0.94558,0.000605595,0.000605595,0.000605595
73,1351.24,1.76975,1.12946,0.93997,0.95481,0.89592,0.94794,0.48352,1.70678,0.83743,0.93897,0.00060004,0.00060004,0.00060004
74,1371.61,1.73404,1.04524,0.91536,0.94005,0.90064,0.93912,0.46709,1.72332,0.84927,0.94004,0.000594485,0.000594485,0.000594485
75,1389.33,1.76062,1.09407,0.94213,0.95355,0.88494,0.94173,0.44329,1.80503,0.86647,0.95429,0.00058893,0.00058893,0.00058893
76,1407.47,1.80141,1.13018,0.93704,0.94772,0.88019,0.93617,0.46288,1.74837,0.86793,0.94801,0.000583375,0.000583375,0.000583375
77,1425.2,1.75447,1.07842,0.92845,0.93488,0.89232,0.93786,0.44426,1.79328,0.87957,0.94818,0.00057782,0.00057782,0.00057782
78,1442.98,1.73556,1.0908,0.92787,0.95419,0.90078,0.94289,0.46317,1.74645,0.84036,0.94452,0.000572265,0.000572265,0.000572265
79,1460.42,1.80188,1.11485,0.93787,0.93575,0.88481,0.93302,0.42136,1.83227,0.87538,0.9572,0.00056671,0.00056671,0.00056671
80,1478.08,1.77036,1.08276,0.93003,0.93531,0.9023,0.94475,0.44639,1.78698,0.85325,0.9468,0.000561155,0.000561155,0.000561155
81,1496.43,1.7115,1.06619,0.92236,0.93289,0.90576,0.95238,0.46638,1.73097,0.85145,0.9445,0.0005556,0.0005556,0.0005556
82,1513.72,1.70649,1.06428,0.9262,0.95606,0.90645,0.94927,0.4685,1.73127,0.82648,0.94168,0.000550045,0.000550045,0.000550045
83,1531.81,1.7022,1.06576,0.94061,0.95109,0.89073,0.9452,0.45699,1.78763,0.8398,0.94851,0.00054449,0.00054449,0.00054449
84,1549.47,1.71703,1.03267,0.93075,0.96736,0.88214,0.94067,0.44856,1.79587,0.83937,0.9506,0.000538935,0.000538935,0.000538935
85,1566.45,1.73597,1.07645,0.92666,0.96229,0.87756,0.93942,0.44629,1.80268,0.85735,0.95349,0.00053338,0.00053338,0.00053338
86,1584.66,1.6884,1.01345,0.91826,0.94,0.88563,0.92451,0.43506,1.80759,0.86536,0.95539,0.000527825,0.000527825,0.000527825
87,1602.8,1.68227,1.02438,0.92505,0.96061,0.9053,0.95264,0.46135,1.73236,0.83554,0.94242,0.00052227,0.00052227,0.00052227
88,1618.52,1.67342,1.0235,0.9138,0.96525,0.91014,0.95314,0.46539,1.74646,0.80284,0.94386,0.000516715,0.000516715,0.000516715
89,1639.64,1.68559,1.01881,0.92131,0.95416,0.89897,0.944,0.45717,1.75733,0.81312,0.94577,0.00051116,0.00051116,0.00051116
90,1657.49,1.65787,0.98782,0.91773,0.96825,0.86878,0.93638,0.46176,1.76479,0.82505,0.95167,0.000505605,0.000505605,0.000505605
91,1670.9,1.71935,1.06121,0.91658,0.95763,0.90288,0.94215,0.46819,1.75321,0.81981,0.94931,0.00050005,0.00050005,0.00050005
92,1693.04,1.69105,1.02106,0.91614,0.95944,0.89514,0.93951,0.45872,1.75195,0.80686,0.94368,0.000494495,0.000494495,0.000494495
93,1710.47,1.70299,1.03114,0.91553,0.94418,0.88736,0.93729,0.44971,1.80021,0.8292,0.954,0.00048894,0.00048894,0.00048894
94,1728.77,1.6749,1.00457,0.91629,0.92681,0.91567,0.94588,0.45884,1.75383,0.82253,0.94702,0.000483385,0.000483385,0.000483385
95,1745.97,1.67684,1.02508,0.90479,0.96965,0.87858,0.94648,0.46429,1.7588,0.82222,0.94305,0.00047783,0.00047783,0.00047783
96,1763.97,1.71341,1.06437,0.90645,0.95067,0.90482,0.94788,0.4634,1.74689,0.8127,0.94533,0.000472275,0.000472275,0.000472275
97,1781.17,1.65453,0.99167,0.91496,0.95312,0.8895,0.94428,0.44631,1.80779,0.84836,0.95427,0.00046672,0.00046672,0.00046672
98,1797.98,1.69456,1.03658,0.92306,0.95199,0.91128,0.94618,0.46862,1.7325,0.80244,0.93946,0.000461165,0.000461165,0.000461165
99,1815.58,1.6838,1.01888,0.92363,0.95905,0.89614,0.95026,0.45561,1.77038,0.83207,0.94805,0.00045561,0.00045561,0.00045561
100,1833.62,1.67078,1.02905,0.91043,0.93343,0.91333,0.95439,0.46974,1.73523,0.8265,0.94711,0.000450055,0.000450055,0.000450055
101,1850.84,1.66028,0.97809,0.92203,0.95544,0.90607,0.94753,0.46862,1.70956,0.81222,0.94118,0.0004445,0.0004445,0.0004445
102,1868.41,1.60967,0.98316,0.91658,0.9622,0.89895,0.94577,0.46534,1.74567,0.80937,0.94453,0.000438945,0.000438945,0.000438945
103,1885.42,1.6185,0.95874,0.90819,0.9705,0.90573,0.95292,0.45894,1.77391,0.81271,0.94669,0.00043339,0.00043339,0.00043339
104,1903.79,1.64358,0.98838,0.90696,0.93701,0.92248,0.94698,0.45136,1.79728,0.81149,0.951,0.000427835,0.000427835,0.000427835
105,1921.99,1.66949,1.05057,0.91313,0.94452,0.92387,0.94629,0.44456,1.78772,0.80478,0.95032,0.00042228,0.00042228,0.00042228
106,1940.06,1.59997,0.95741,0.89921,0.95018,0.91964,0.9468,0.46791,1.72582,0.79495,0.94396,0.000416725,0.000416725,0.000416725
107,1957.55,1.65212,1.00491,0.92223,0.9592,0.92084,0.95031,0.45844,1.76156,0.79876,0.94669,0.00041117,0.00041117,0.00041117
108,1974.7,1.59177,0.94833,0.90351,0.96482,0.91652,0.95055,0.46025,1.75245,0.79361,0.94674,0.000405615,0.000405615,0.000405615
109,1992.99,1.61874,0.98705,0.91035,0.95913,0.90688,0.94196,0.46367,1.74796,0.79259,0.94897,0.00040006,0.00040006,0.00040006
110,2011.97,1.63438,0.99786,0.90585,0.96328,0.90426,0.94772,0.4516,1.7744,0.79944,0.9521,0.000394505,0.000394505,0.000394505
111,2030.85,1.62495,0.95757,0.89967,0.96415,0.90489,0.9471,0.46409,1.734,0.80107,0.94738,0.00038895,0.00038895,0.00038895
112,2050.26,1.65666,1.00211,0.90661,0.96214,0.89637,0.94617,0.45339,1.79977,0.80991,0.95622,0.000383395,0.000383395,0.000383395
113,2069.67,1.63674,0.96028,0.8967,0.96897,0.90333,0.95134,0.46726,1.73533,0.78418,0.94352,0.00037784,0.00037784,0.00037784
114,2088.12,1.60759,0.97404,0.89975,0.95106,0.91685,0.94822,0.45996,1.75686,0.8001,0.94716,0.000372285,0.000372285,0.000372285
115,2107.2,1.59819,0.97184,0.90611,0.96529,0.91028,0.94658,0.46934,1.73795,0.77983,0.94784,0.00036673,0.00036673,0.00036673
116,2127,1.58198,0.93742,0.90268,0.9494,0.91527,0.94582,0.47297,1.72736,0.78447,0.94361,0.000361175,0.000361175,0.000361175
117,2147.75,1.56064,0.94027,0.90437,0.97032,0.89885,0.95666,0.47337,1.73129,0.77328,0.94342,0.00035562,0.00035562,0.00035562
118,2167.25,1.55305,0.89441,0.9026,0.94781,0.91845,0.95163,0.45708,1.7734,0.80992,0.94902,0.000350065,0.000350065,0.000350065
119,2186.93,1.58812,0.92863,0.90098,0.96812,0.91119,0.95585,0.46989,1.72598,0.77613,0.94071,0.00034451,0.00034451,0.00034451
