               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.045103,            0.014526,           0.0069635,             0.94825,             0.91256,             0.94214,             0.44249,            0.038689,            0.011058,           0.0033958,            0.004852,            0.004852,            0.004852
                  54,            0.042518,            0.014729,           0.0073032,             0.94851,             0.92164,             0.94519,             0.43873,            0.037457,              0.0108,           0.0036405,            0.004753,            0.004753,            0.004753
                  55,            0.042316,            0.014242,           0.0061865,             0.96721,             0.90745,             0.94733,              0.4469,              0.0385,            0.010986,           0.0034925,            0.004654,            0.004654,            0.004654
                  56,            0.043946,            0.014332,           0.0066113,             0.96568,             0.92159,             0.95243,             0.46572,            0.036119,            0.010704,           0.0035324,            0.004555,            0.004555,            0.004555
                  57,            0.041696,            0.014717,           0.0066257,             0.93815,             0.90495,             0.93722,             0.41729,             0.03923,            0.010767,           0.0034978,            0.004456,            0.004456,            0.004456
                  58,            0.043178,            0.014326,           0.0052267,             0.95941,             0.92527,             0.94938,             0.46422,            0.037239,            0.010436,            0.003102,            0.004357,            0.004357,            0.004357
                  59,             0.03962,            0.014065,           0.0051502,             0.96855,             0.91885,             0.96013,             0.46439,            0.033884,            0.010532,           0.0035444,            0.004258,            0.004258,            0.004258
                  60,            0.040078,             0.01523,           0.0055027,             0.95441,              0.9361,             0.96031,             0.47121,            0.034338,            0.010391,           0.0032275,            0.004159,            0.004159,            0.004159
                  61,            0.040042,            0.014441,           0.0063876,             0.95143,             0.90976,             0.94999,             0.46961,             0.03553,            0.010555,           0.0032691,             0.00406,             0.00406,             0.00406
                  62,            0.040907,            0.014476,           0.0047894,             0.96322,             0.91476,             0.94787,              0.4623,            0.036518,            0.010469,           0.0037447,            0.003961,            0.003961,            0.003961
                  63,            0.040147,            0.015102,           0.0051792,             0.95279,             0.90274,             0.93604,             0.42017,            0.037589,            0.010828,           0.0033561,            0.003862,            0.003862,            0.003862
                  64,            0.039031,            0.014561,           0.0048984,             0.95823,             0.92796,              0.9581,             0.46437,            0.035642,            0.010564,           0.0027724,            0.003763,            0.003763,            0.003763
                  65,            0.040221,            0.014402,           0.0052034,             0.95374,             0.92641,             0.95345,             0.46324,            0.034846,            0.010427,           0.0029079,            0.003664,            0.003664,            0.003664
                  66,            0.040007,            0.014139,           0.0049828,             0.96472,             0.91008,             0.94105,             0.44447,            0.037887,            0.010469,           0.0032021,            0.003565,            0.003565,            0.003565
                  67,            0.038643,            0.014311,            0.005028,             0.96023,             0.90656,              0.9451,              0.4488,            0.034983,            0.010371,           0.0029973,            0.003466,            0.003466,            0.003466
                  68,            0.039787,            0.014066,           0.0049953,             0.96279,             0.91989,             0.95966,             0.47729,            0.034295,            0.010396,             0.00253,            0.003367,            0.003367,            0.003367
                  69,            0.037132,            0.014313,           0.0047756,             0.96642,             0.92912,             0.96054,             0.48751,            0.034687,            0.010264,           0.0022616,            0.003268,            0.003268,            0.003268
                  70,            0.040555,            0.014386,           0.0042823,             0.96984,             0.92579,             0.95999,             0.47542,            0.036864,            0.010187,           0.0023128,            0.003169,            0.003169,            0.003169
                  71,            0.040079,            0.014368,           0.0048955,             0.96465,             0.93242,             0.96374,             0.49407,            0.034141,            0.010067,           0.0024772,             0.00307,             0.00307,             0.00307
                  72,            0.039336,            0.013986,           0.0047426,             0.95828,             0.94158,             0.96225,             0.43845,            0.035306,            0.010167,           0.0024974,            0.002971,            0.002971,            0.002971
                  73,            0.038056,            0.014031,           0.0047337,              0.9667,             0.93897,             0.96255,             0.47621,             0.03515,            0.010248,           0.0025686,            0.002872,            0.002872,            0.002872
                  74,            0.037034,             0.01332,           0.0037368,             0.95689,             0.93686,             0.95822,             0.47387,            0.034293,            0.010181,            0.002471,            0.002773,            0.002773,            0.002773
                  75,            0.035791,            0.013566,           0.0038589,             0.95579,             0.94176,             0.96083,             0.47889,            0.035417,            0.010049,           0.0023179,            0.002674,            0.002674,            0.002674
                  76,             0.03748,            0.013841,           0.0030765,             0.96683,             0.94885,             0.96695,             0.49939,            0.033754,            0.010066,           0.0023843,            0.002575,            0.002575,            0.002575
                  77,            0.038359,            0.013752,           0.0036161,             0.97054,             0.93606,             0.96247,             0.49798,            0.034666,            0.010064,           0.0028335,            0.002476,            0.002476,            0.002476
                  78,            0.037881,            0.013725,           0.0038805,             0.96253,              0.9391,             0.96336,             0.47796,             0.03466,           0.0099999,           0.0026873,            0.002377,            0.002377,            0.002377
                  79,            0.037637,            0.013422,           0.0035248,             0.97446,             0.93948,             0.96936,              0.5058,            0.032279,           0.0099486,           0.0023661,            0.002278,            0.002278,            0.002278
                  80,            0.034678,            0.013774,           0.0042067,             0.97335,              0.9506,             0.97082,             0.50365,            0.032917,            0.009821,           0.0022543,            0.002179,            0.002179,            0.002179
                  81,            0.035062,            0.013621,           0.0031458,              0.9749,             0.94383,             0.97086,             0.50799,            0.031649,            0.009875,            0.002125,             0.00208,             0.00208,             0.00208
                  82,            0.036858,            0.013537,           0.0036073,             0.96976,             0.94574,             0.96808,              0.5075,            0.031875,           0.0098937,           0.0021411,            0.001981,            0.001981,            0.001981
                  83,            0.035219,            0.013652,           0.0036204,             0.97343,             0.95195,             0.97443,             0.50376,            0.033998,           0.0098254,           0.0019586,            0.001882,            0.001882,            0.001882
                  84,             0.03623,            0.013636,           0.0034747,             0.97694,             0.95165,             0.97419,             0.51633,            0.031113,           0.0097036,           0.0018234,            0.001783,            0.001783,            0.001783
                  85,            0.035423,            0.013112,           0.0036684,              0.9762,             0.93954,             0.96802,             0.48163,            0.033573,           0.0099398,           0.0019943,            0.001684,            0.001684,            0.001684
                  86,            0.035778,            0.013949,           0.0036992,             0.97261,             0.94569,             0.97122,              0.4888,            0.032583,           0.0099177,           0.0021349,            0.001585,            0.001585,            0.001585
                  87,            0.035021,              0.0132,           0.0034958,             0.96956,             0.95482,             0.96992,             0.50696,            0.030651,           0.0097918,           0.0020637,            0.001486,            0.001486,            0.001486
                  88,            0.035386,            0.013416,            0.003411,               0.971,             0.96186,             0.97137,             0.50663,            0.031507,           0.0098609,           0.0019026,            0.001387,            0.001387,            0.001387
                  89,            0.034844,            0.013906,           0.0039531,             0.97518,             0.95292,             0.97263,             0.51771,            0.029679,           0.0097649,           0.0019215,            0.001288,            0.001288,            0.001288
                  90,            0.033571,            0.013707,           0.0026784,             0.97746,              0.9471,             0.96667,             0.49388,            0.030948,           0.0098154,           0.0019925,            0.001189,            0.001189,            0.001189
                  91,            0.034677,            0.013262,           0.0030859,              0.9778,             0.94203,             0.96794,             0.51137,            0.030113,            0.009858,           0.0020134,             0.00109,             0.00109,             0.00109
                  92,            0.035188,              0.0135,            0.003656,             0.96941,             0.94213,             0.96658,             0.49931,            0.031896,           0.0097956,           0.0019437,            0.000991,            0.000991,            0.000991
                  93,            0.032651,            0.013143,           0.0030311,             0.97439,             0.95185,             0.96811,             0.50786,            0.032487,           0.0097293,           0.0018135,            0.000892,            0.000892,            0.000892
                  94,            0.033808,            0.012888,           0.0029467,             0.97267,             0.95085,             0.97102,             0.51535,            0.030686,           0.0097084,           0.0017289,            0.000793,            0.000793,            0.000793
                  95,            0.033453,            0.013684,           0.0028926,             0.97517,              0.9482,             0.96997,             0.51651,              0.0303,           0.0097397,           0.0017311,            0.000694,            0.000694,            0.000694
                  96,            0.032578,            0.013514,           0.0026107,              0.9736,             0.95506,             0.97324,             0.52062,            0.029519,           0.0096579,           0.0017738,            0.000595,            0.000595,            0.000595
                  97,            0.033387,            0.013324,           0.0034191,             0.97878,             0.95087,             0.97199,             0.50909,            0.030227,           0.0096654,           0.0017246,            0.000496,            0.000496,            0.000496
                  98,            0.032761,            0.013392,           0.0028037,             0.97586,             0.95462,             0.97244,             0.51386,            0.029621,           0.0096477,           0.0016413,            0.000397,            0.000397,            0.000397
                  99,             0.03299,            0.013183,           0.0023577,             0.97542,             0.95285,             0.97097,             0.51753,            0.029045,            0.009643,            0.001622,            0.000298,            0.000298,            0.000298
